BookTitle,красный,коричневый,синий,цветной,белый,темный,серый,черный,рыжий,бледный,багровый,голубой,желтый,светлый,серебряный,золотой,розовый,фиолетовый,зеленый,бурый,мутный,бежевый,сизый,пестрый,лиловый,оранжевый,изумрудный,пунцовый,румяный,алый,лазурный,бордовый,пурпурный,бирюзовый,аметистовый,тусклый,сиреневый,малиновый
Н. С. Лесков. Бесстыдник (1869),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ф. М. Достоевский. Идиот (1869),25.0,2.0,7.0,1.0,33.0,43.0,6.0,54.0,2.0,44.0,2.0,12.0,6.0,22.0,0.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
А. К. Толстой. Царь Борис [прозаические сцены] (1868-1869),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Л. Н. Толстой. Война и мир. Том второй (1867-1869),52.0,0.0,15.0,1.0,55.0,22.0,9.0,42.0,4.0,29.0,2.0,8.0,11.0,14.0,2.0,1.0,3.0,0.0,10.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Л. Н. Толстой. Война и мир. Том первый (1867-1869),32.0,3.0,14.0,1.0,52.0,13.0,14.0,36.0,9.0,21.0,7.0,13.0,7.0,13.0,0.0,0.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Л. Н. Толстой. Война и мир. Том третий (1867-1869),28.0,3.0,20.0,0.0,66.0,12.0,10.0,46.0,3.0,29.0,1.0,3.0,13.0,18.0,0.0,0.0,5.0,0.0,16.0,0.0,7.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Л. Н. Толстой. Война и мир. Том четвертый (1867-1869),43.0,2.0,12.0,0.0,23.0,9.0,9.0,32.0,4.0,23.0,3.0,3.0,7.0,14.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Л. Н. Толстой. Наташа Ростова в театре. Неопубликованный отрывок из «Войны и мира» (1867-1869) // «Советское искусство». № 14 (594), 1939",1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
А. А. Потехин. Виноватая (1868),0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
А. К. Шеллер-Михайлов. Господа Обносковы (1868),9.0,0.0,1.0,1.0,10.0,12.0,2.0,16.0,0.0,15.0,2.0,0.0,6.0,6.0,3.0,0.0,6.0,0.0,9.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
